BL #	TRiP #	CG #	FBgn	Vector	Hairpin Loc.
34325	HMS01312	CG2328	FBgn0000606	VALIUM20	attP2
28734	JF03161	CG2328	FBgn0000606	VALIUM10	attP2
34897	HMS01242	CG8933	FBgn0000611	VALIUM20	attP2
29338	JF02500	CG8933	FBgn0000611	VALIUM10	attP2
	GL01244	CG8994	FBgn0000615	VALIUM22	attP2
28902	HM05112	CG8994	FBgn0000615	VALIUM10	attP2
32345	HMS00336	CG6474	FBgn0000617	VALIUM20	attP2
	HMJ02090	CG15191	FBgn0000618	VALIUM20	attP40
26226	JF02124	CG10488	FBgn0000625	VALIUM10	attP2
36068	GL00486	CG6502	FBgn0000629	VALIUM22	attP40
33659	HMS00066	CG6502	FBgn0000629	VALIUM20	attP2
31617	JF01402	CG6502	FBgn0000629	VALIUM1	attP2
27993	JF02826	CG6502	FBgn0000629	VALIUM10	attP2
34084	HMS01098	CG3665	FBgn0000635	VALIUM20	attP2
28990	JF02918	CG3665	FBgn0000635	VALIUM10	attP2
34323	HMS01310	CG10917	FBgn0000658	VALIUM20	attP2
28009	JF02843	CG10917	FBgn0000658	VALIUM10	attP2
33760	HMS01103	CG10002	FBgn0000659	VALIUM20	attP2
27072	JF02417	CG10002	FBgn0000659	VALIUM10	attP2
34874	HMS00193	CG4376	FBgn0000667	VALIUM20	attP2
27566	JF02720	CG1484	FBgn0000709	VALIUM10	attP2
38336	HMS01803	CG2096	FBgn0000711	VALIUM20	attP2
25870	JF01909	CG2346	FBgn0000715	VALIUM10	attP2
36790	GL00529	CG9559	FBgn0000719	VALIUM22	attP2
35158	GL00026	CG10033	FBgn0000721	VALIUM22	attP2
31698	JF01449	CG10033	FBgn0000721	VALIUM1	attP2
31592	JF01181	CG10033	FBgn0000721	VALIUM1	attP2
33375	HMS00249	CG8874	FBgn0000723	VALIUM20	attP2
33630	HMS00027	CG3218	FBgn0000810	VALIUM20	attP2
33008	HMS00808	CG3218	FBgn0000810	VALIUM20	attP2
	HMJ02104	CG11420	FBgn0000826	VALIUM20	attP40
	GL00103	CG11420	FBgn0000826	VALIUM22	attP2
35181	GL00053	CG2706	FBgn0000928	VALIUM22	attP2
35301	GL00204	CG2706	FBgn0000928	VALIUM22	attP2
34595	HMS01069	CG10034	FBgn0000964	VALIUM20	attP2
25987	JF02009	CG10034	FBgn0000964	VALIUM10	attP2
29562	JF03241	CG8171	FBgn0000996	VALIUM10	attP2
34970	HMS00932	CG3352	FBgn0001075	VALIUM20	attP2
	JF01689	CG3352	FBgn0001075	VALIUM12	attP2
29566	JF03245	CG3352	FBgn0001075	VALIUM10	attP2
33761	HMS01104	CG2047	FBgn0001077	VALIUM20	attP2
33625	HMS00019	CG4059	FBgn0001078	VALIUM20	attP2
