BL #	TRiP #	CG #	FBgn	Vector	Hairpin Loc.
26219	JF02117	CG17921	FBgn0010228	VALIUM10	attP2
36795	GL00535	CG5433	FBgn0010235	VALIUM22	attP40
33934	HMS00883	CG5433	FBgn0010235	VALIUM20	attP2
38895	GL00666	CG12369	FBgn0010238	VALIUM22	attP40
38536	HMS01756	CG12369	FBgn0010238	VALIUM20	attP40
28940	HM05151	CG12369	FBgn0010238	VALIUM10	attP2
32019	JF02159	CG17336	FBgn0010240	VALIUM10	attP2
35034	HMS01448	CG8523	FBgn0010241	VALIUM20	attP2
	HMS02253	CG9155	FBgn0010246	VALIUM20	attP2
35792	GL00229	CG40411	FBgn0010247	VALIUM22	attP2
34888 - pulle	HMS01233	-	FBgn0010247 original	VALIUM20	attP2
31397 - pulle	JF01387	-	FBgn0010247 original	VALIUM1	attP2
	GL01167	CG3151	FBgn0010263	VALIUM22	attP2
28669	JF03084	CG3151	FBgn0010263	VALIUM10	attP2
34820	HMS00135	CG13389	FBgn0010265	VALIUM20	attP2
35216	GL00096	CG15793	FBgn0010269	VALIUM22	attP2
36099	GLV21003	CG15793	FBgn0010269	VALIUM21	attP2
33639	HMS00037	CG15793	FBgn0010269	VALIUM20	attP2
32920	HMS00710	CG15793	FBgn0010269	VALIUM20	attP2
34830	HMS00145	CG15793	FBgn0010269	VALIUM20	attP2
31184	JF01697	CG15793	FBgn0010269	VALIUM1	attP2
28685	JF03100	CG15793	FBgn0010269	VALIUM10	attP2
35455	GL00381	CG4817	FBgn0010278	VALIUM22	attP2
	HMS02258	CG4817	FBgn0010278	VALIUM20	attP2
	HMS02285	CG4817	FBgn0010278	VALIUM20	attP2
26222	JF02120	CG4817	FBgn0010278	VALIUM10	attP2
35427	GL00351	CG5444	FBgn0010280	VALIUM22	attP2
35428	GL00352	CG10281	FBgn0010282	VALIUM22	attP2
34876	HMS00196	CG1430	FBgn0010292	VALIUM20	attP2
34646	HMS01121	CG10719	FBgn0010300	VALIUM20	attP2
28590	HM05078	CG10719	FBgn0010300	VALIUM10	attP2
35210	GL00089	CG4353	FBgn0010303	VALIUM22	attP2
28710	JF03137	CG4353	FBgn0010303	VALIUM10	attP2
35456	GL00382	CG2530	FBgn0010313	VALIUM22	attP2
35156	GL00024	CG3738	FBgn0010314	VALIUM22	attP2
33653	HMS00059	CG9096	FBgn0010315	VALIUM20	attP2
27718	JF02799	CG9096	FBgn0010315	VALIUM10	attP2
36720	HMS01610	CG1772	FBgn0010316	VALIUM20	attP2
37521	HMS01663	CG10308	FBgn0010317	VALIUM20	attP40
	HMC02397	CG2851	FBgn0010323	VALIUM20	attP2
27057	JF02398	CG5965	FBgn0010328	VALIUM10	attP2
27667	JF02746	CG1543	FBgn0010329	VALIUM10	attP2
34910	HMS01258	CG2248	FBgn0010333	VALIUM20	attP2
	GLC01345	CG2248	FBgn0010333	VALIUM22	attP40
28985	JF02813	CG2248	FBgn0010333	VALIUM10	attP2
37477	GL00620	CG12530	FBgn0010341	VALIUM22	attP40
35756	HMS01502	CG12530	FBgn0010341	VALIUM20	attP40
28021	JF02855	CG12530	FBgn0010341	VALIUM10	attP2
32458	HMS00457	CG1825	FBgn0010342	VALIUM20	attP2
29538	JF01809	CG8385	FBgn0010348	VALIUM10	attP2
28075	JF02912	CG7962	FBgn0010350	VALIUM10	attP2
	GLC01360	CG11661	FBgn0010352	VALIUM22	attP40
33686	HMS00554	CG11661	FBgn0010352	VALIUM20	attP2
35314	GL00219	CG17603	FBgn0010355	VALIUM22	attP2
32421	HMS00416	CG17603	FBgn0010355	VALIUM20	attP2
35367	GL00280	CG7704	FBgn0010356	VALIUM22	attP2
33615	HMS00007	CG4006	FBgn0010379	VALIUM20	attP2
	GL00040	CG4006	FBgn0010379	VALIUM22	attP2
31701	HM04007	CG4006	FBgn0010379	VALIUM1	attP2
31707	HM04014	CG12532	FBgn0010380	VALIUM1	attP2
28328	JF02963	CG12532	FBgn0010380	VALIUM10	attP2
36092	GL00511	CG3938	FBgn0010382	VALIUM22	attP40
38902	GL00673	CG3938	FBgn0010382	VALIUM22	attP2
33654	HMS00060	CG3938	FBgn0010382	VALIUM20	attP2
29314	JF02473	CG3938	FBgn0010382	VALIUM10	attP2
29524	HM05201	CG1385	FBgn0010385	VALIUM10	attP2
35024	HMS01437	CG7223	FBgn0010389	VALIUM20	attP2
	GLC01369	CG2522	FBgn0010391	VALIUM22	attP2
28601	HM05089	CG1762	FBgn0010395	VALIUM10	attP2
31621	JF01406	CG10119	FBgn0010397	VALIUM1	attP2
28959	HM05170	CG6098	FBgn0010398	VALIUM10	attP2
	HMS02199	CG2902	FBgn0010399	VALIUM20	attP2
	HMS02200	CG2902	FBgn0010399	VALIUM20	attP40
25941	JF01961	CG2902	FBgn0010399	VALIUM10	attP2
38322	HMS01786	CG8194	FBgn0010406	VALIUM20	attP2
33394	HMS00271	CG3395	FBgn0010408	VALIUM20	attP2
	GL00730	CG4464	FBgn0010412	VALIUM22	attP2
38934	HMS00283	CG9984	FBgn0010416	VALIUM20	attP40
35429	GL00353	CG3710	FBgn0010422	VALIUM22	attP2
34642	HMS01117	CG3710	FBgn0010422	VALIUM20	attP2
26172	JF02067	CG9073	FBgn0010423	VALIUM10	attP2
35430	GL00354	CG18543	FBgn0010431	VALIUM22	attP2
34929	HMS01278	CG7508	FBgn0010433	VALIUM20	attP2
35017	HMS01430	CG7508	FBgn0010433	VALIUM20	attP2
26316	JF02089	CG7508	FBgn0010433	VALIUM10	attP2
35003	HMS01413	CG11949	FBgn0010434	VALIUM20	attP2
28933	HM05144	CG11949	FBgn0010434	VALIUM10	attP2
	HMS02195	CG2727	FBgn0010435	VALIUM20	attP40
35577	GL00150	CG5974	FBgn0010441	VALIUM22	attP2
34733	HMS01213	CG5974	FBgn0010441	VALIUM20	attP2
	HMS02332	CG5974	FBgn0010441	VALIUM20	attP40
28525	HM05011	CG11280	FBgn0010452	VALIUM10	attP2
29442	JF03378	CG4698	FBgn0010453	VALIUM10	attP2
32357	HMS00348	CG3845	FBgn0010488	VALIUM20	attP2
27302	JF02611	CG3845	FBgn0010488	VALIUM10	attP2
36724	HMS01615	CG5304	FBgn0010497	VALIUM20	attP2
38315	HMS01779	CG5370	FBgn0010501	VALIUM20	attP2
28909	HM05120	CG5370	FBgn0010501	VALIUM10	attP2
34915	HMS01263	CG8996	FBgn0010516	VALIUM20	attP2
31629	JF01415	CG4539	FBgn0010520	VALIUM1	attP2
	HMS02001	CG15081	FBgn0010551	VALIUM20	attP40
27049	JF02375	CG5580	FBgn0010575	VALIUM10	attP2
27728	JF02810	CG3727	FBgn0010583	VALIUM10	attP2
34824	HMS00139	CG8392	FBgn0010590	VALIUM20	attP2
37506	HMS01648	CG3018	FBgn0010602	VALIUM20	attP40
	HMS00067	CG3018	FBgn0010602	VALIUM20	attP2
37481	GL00624	CG3018	FBgn0010602	VALIUM22	attP40
31396	JF01386	CG3018	FBgn0010602	VALIUM1	attP2
	GL01246	CG8439	FBgn0010621	VALIUM22	attP2
33999	HMS00962	CG15095	FBgn0010651	VALIUM20	attP2
33897	HMS00837	CG3820	FBgn0010660	VALIUM20	attP2
35741	HMS01483	CG5429	FBgn0010709	VALIUM20	attP2
28060	JF02897	CG5429	FBgn0010709	VALIUM10	attP2
34626	HMS01301	CG1101	FBgn0010774	VALIUM20	attP2
	HMC02376	CG1715	FBgn0010808	VALIUM20	attP2
38984	HMS01900	CG1715	FBgn0010808	VALIUM20	attP40
32961	HMS00756	CG6964	FBgn0010825	VALIUM20	attP2
	HMC02398	CG7129	FBgn0010877	VALIUM20	attP2
38200	GL00639	CG10624	FBgn0010894	VALIUM22	attP40
38258	HMS01702	CG10624	FBgn0010894	VALIUM20	attP40
	GL00098	CG16973	FBgn0010909	VALIUM22	attP2
	HMJ02084	CG16973	FBgn0010909	VALIUM20	attP40
28791	JF03219	CG16973	FBgn0010909	VALIUM10	attP2
35691	GLV21056	CG5824	FBgn0010926	VALIUM21	attP2
35049	HMS01463	CG10061	FBgn0011020	VALIUM20	attP2
35479	GL00408	CG1768	FBgn0011202	VALIUM22	attP40
33424	HMS00308	CG1768	FBgn0011202	VALIUM20	attP2
28541	HM05027	CG1768	FBgn0011202	VALIUM10	attP2
36875	GL01033	CG12086	FBgn0011204	VALIUM22	attP2
35259	GL00149	CG5725	FBgn0011205	VALIUM22	attP2
28059	JF02896	CG3612	FBgn0011211	VALIUM10	attP2
35431	GL00355	CG7425	FBgn0011217	VALIUM22	attP2
31875	HM05268	CG7425	FBgn0011217	VALIUM10	attP2
35669	GLV21034	CG31000	FBgn0011224	VALIUM21	attP2
27040	JF02366	CG31000	FBgn0011224	VALIUM10	attP2
28064	JF02901	CG5695	FBgn0011225	VALIUM10	attP2
32945	HMS00739	CG14472	FBgn0011230	VALIUM20	attP2
38994	HMS01910	CG3766	FBgn0011232	VALIUM20	attP40
34739	HMS01219	CG5575	FBgn0011236	VALIUM20	attP2
34320	HMS01307	CG18405	FBgn0011259	VALIUM20	attP2
29554	JF03231	CG18405	FBgn0011259	VALIUM10	attP2
35432	GL00356	CG4700	FBgn0011260	VALIUM22	attP2
29519	HM05196	CG4700	FBgn0011260	VALIUM10	attP2
29514	HM05191	CG6794	FBgn0011274	VALIUM10	attP2
30513	HM05257	CG6794	FBgn0011274	VALIUM10	attP2
33758	HMS01101	CG2655	FBgn0011276	VALIUM20	attP2
26324	JF02098	CG2655	FBgn0011276	VALIUM10	attP2
25976	JF01998	CG3052	FBgn0011277	VALIUM10	attP2
28374	JF03011	CG6545	FBgn0011278	VALIUM10	attP2
29432	JF03368	CG1668	FBgn0011280	VALIUM10	attP2
31695	JF01101	CG10844	FBgn0011286	VALIUM1	attP2
28919	HM05130	CG10844	FBgn0011286	VALIUM10	attP2
31540	JF01100	CG10844	FBgn0011286	VALIUM1	attP2
29445	JF03381	CG10844	FBgn0011286	VALIUM10	attP2
34377	HMS01367	CG40452	FBgn0011288	VALIUM20	attP2
27306	JF02615	CG40452	FBgn0011288	VALIUM10	attP2
34852	HMS00170	CG17358	FBgn0011290	VALIUM20	attP2
	HMS02290	CG4533	FBgn0011296	VALIUM20	attP2
32938 - pulle	HMS00732	-	FBgn0011297 original	VALIUM20	attP2
	GL00211	CG8224	FBgn0011300	VALIUM22	attP2
	GL00702	CG8224	FBgn0011300	VALIUM22	attP2
	HMS02033	CG8224	FBgn0011300	VALIUM20	attP40
25933	JF01953	CG8224	FBgn0011300	VALIUM10	attP2
35433	GL00357	CG3431	FBgn0011327	VALIUM22	attP2
37492	HMS01634	CG9160	FBgn0011361	VALIUM20	attP2
29528	HM05206	CG9160	FBgn0011361	VALIUM10	attP2
35322	GL00228	CG3307	FBgn0011474	VALIUM22	attP2
34011	HMS00977	CG33162	FBgn0011509	VALIUM20	attP2
26298	JF02068	CG17158	FBgn0011570	VALIUM10	attP2
32990	HMS00790	CG3606	FBgn0011571	VALIUM20	attP2
34839	HMS00156	CG3606	FBgn0011571	VALIUM20	attP2
34991	HMS01401	CG12019	FBgn0011573	VALIUM20	attP2
28756	JF03184	CG12019	FBgn0011573	VALIUM10	attP2
26245	JF02144	CG6440	FBgn0011581	VALIUM10	attP2
	HMC02344	CG9652	FBgn0011582	VALIUM20	attP2
31765	HM04077	CG9652	FBgn0011582	VALIUM1	attP2
25821	JF01839	CG5076	FBgn0011589	VALIUM10	attP2
25947	JF01967	CG10580	FBgn0011591	VALIUM10	attP2
	HMS01147	CG8581	FBgn0011592	VALIUM20	attP2
31469	JF01231	CG8581	FBgn0011592	VALIUM1	attP2
31664	JF01457	CG8581	FBgn0011592	VALIUM1	attP2
32845	HMS00628	CG8625	FBgn0011604	VALIUM20	attP2
31111	JF01582	CG8625	FBgn0011604	VALIUM1	attP2
	HMS02192	CG8590	FBgn0011606	VALIUM20	attP40
	GL01159	CG10922	FBgn0011638	VALIUM22	attP2
27703	JF02783	CG8597	FBgn0011640	VALIUM10	attP2
36716	HMS01606	CG32018	FBgn0011642	VALIUM20	attP40
29591	JF03270	CG32018	FBgn0011642	VALIUM10	attP2
35648	GLV21013	CG12399	FBgn0011648	VALIUM21	attP2
31315	JF01263	CG12399	FBgn0011648	VALIUM1	attP2
31316	JF01264	CG12399	FBgn0011648	VALIUM1	attP2
31928	JF02218	CG1775	FBgn0011655	VALIUM10	attP2
38247	HMS01691	CG1429	FBgn0011656	VALIUM20	attP40
28699	JF03115	CG1429	FBgn0011656	VALIUM10	attP2
32940	HMS00734	CG11482	FBgn0011659	VALIUM20	attP2
33936	HMS00886	CG10701	FBgn0011661	VALIUM20	attP2
31872	HM05265	CG10701	FBgn0011661	VALIUM10	attP2
31135	JF01610	CG10701	FBgn0011661	VALIUM1	attP2
38969	HMS01883	CG11312	FBgn0011674	VALIUM20	attP2
35042	HMS01456	CG11312	FBgn0011674	VALIUM20	attP2
38351	HMS01819	CG11312	FBgn0011674	VALIUM20	attP40
28792	JF03220	CG6713	FBgn0011676	VALIUM10	attP2
35649	GLV21014	CG1258	FBgn0011692	VALIUM21	attP2
	HMJ02232	CG1258	FBgn0011692	VALIUM20	attP40
28339	JF02974	CG31240	FBgn0011701	VALIUM10	attP2
	HMC02351	CG5371	FBgn0011703	VALIUM20	attP2
32864	HMS00651	CG8975	FBgn0011704	VALIUM20	attP2
29397	JF03330	CG4214	FBgn0011708	VALIUM10	attP2
27709	JF02789	CG1403	FBgn0011710	VALIUM10	attP2
32372	HMS00363	CG1064	FBgn0011715	VALIUM20	attP2
31570	JF01143	CG11527	FBgn0011722	VALIUM1	attP2
32901	HMS00690	CG31137	FBgn0011725	VALIUM20	attP2
32490	HMS00493	CG31137	FBgn0011725	VALIUM20	attP2
33670	HMS00534	CG4254	FBgn0011726	VALIUM20	attP2
35170	GL00039	CG4488	FBgn0011737	VALIUM22	attP2
	GL00218	CG12072	FBgn0011739	VALIUM22	attP2
34064	HMS00026	CG12072	FBgn0011739	VALIUM20	attP2
	GL01331	CG12072	FBgn0011739	VALIUM22	attP2
27662	JF02741	CG12072	FBgn0011739	VALIUM10	attP2
27705	JF02785	CG9901	FBgn0011742	VALIUM10	attP2
32032	HM05259	CG6174	FBgn0011745	VALIUM10	attP2
27515	JF02665	CG8084	FBgn0011746	VALIUM10	attP2
31115	JF01588	CG1651	FBgn0011747	VALIUM1	attP2
	HMJ02065	CG1830	FBgn0011754	VALIUM20	attP40
35311	GL00214	CG1830	FBgn0011754	VALIUM22	attP2
31711	HM04018	CG5529	FBgn0011758	VALIUM1	attP2
	GL01285	CG4193	FBgn0011761	VALIUM22	attP2
33372	HMS00245	CG4654	FBgn0011763	VALIUM20	attP2
31767	HM04079	CG4654	FBgn0011763	VALIUM1	attP2
30515	JF02519	CG4654	FBgn0011763	VALIUM10	attP2
31960	JF02732	CG12223	FBgn0011764	VALIUM10	attP2
36126	HMS01541	CG6376	FBgn0011766	VALIUM20	attP2
31214	JF01741	CG6376	FBgn0011766	VALIUM1	attP2
27564	JF02718	CG6376	FBgn0011766	VALIUM10	attP2
34937	HMS01268	CG6598	FBgn0011768	VALIUM20	attP2
	HMS02252	CG5837	FBgn0011771	VALIUM20	attP2
29406	JF03342	CG5837	FBgn0011771	VALIUM10	attP2
35819	GL00286	CG5247	FBgn0011774	VALIUM22	attP2
29594	JF03273	CG5247	FBgn0011774	VALIUM10	attP2
33421	HMS00304	CG31132	FBgn0011785	VALIUM20	attP2
33408	HMS00287	CG6539	FBgn0011802	VALIUM20	attP2
	GL00703	CG7892	FBgn0011817	VALIUM22	attP2
	HMJ02229	CG7892	FBgn0011817	VALIUM20	attP40
	GL00165	CG7892	FBgn0011817	VALIUM22	attP2
25793	JF01799	CG7892	FBgn0011817	VALIUM10	attP2
	HMS02174	CG9884	FBgn0011818	VALIUM20	attP40
32943	HMS00737	CG13374	FBgn0011822	VALIUM20	attP2
32992	HMS00792	CG13374	FBgn0011822	VALIUM20	attP2
27692	JF02772	CG4799	FBgn0011823	VALIUM10	attP2
34013	HMS00979	CG4038	FBgn0011824	VALIUM20	attP2
	HMS02039	CG9842	FBgn0011826	VALIUM20	attP2
25929	JF01949	CG9842	FBgn0011826	VALIUM10	attP2
25948	JF01968	CG14396	FBgn0011829	VALIUM10	attP2
	GL01206	CG17240	FBgn0011832	VALIUM22	attP40
	GL01203	CG2071	FBgn0011834	VALIUM22	attP40
35434	GL00358	CG4070	FBgn0011837	VALIUM22	attP2
	HMS02314	CG9390	FBgn0012034	VALIUM20	attP2
34989	HMS01399	CG3752	FBgn0012036	VALIUM20	attP2
36749	HMS03009	CG8827	FBgn0012037	VALIUM20	attP2
29455	JF03391	CG7563	FBgn0012051	VALIUM10	attP2
31716	HM04024	CG8610	FBgn0012058	VALIUM1	attP2
25804	JF01822	CG8348	FBgn0012344	VALIUM10	attP2
	HMS02188	"CG33261,CG42507"	"FBgn0013263,FBgn02"	VALIUM20	attP2
	GL00699	"CG33261,CG42507"	"FBgn0013263,FBgn02"	VALIUM22	attP2
32348	HMS00339	CG6226	FBgn0013269	VALIUM20	attP2
32400	HMS00395	CG5820	FBgn0013272	VALIUM20	attP2
	HMS02339	CG31366	FBgn0013275	VALIUM20	attP40
35671	GLV21036	CG31366	FBgn0013275	VALIUM21	attP2
35663	GLV21028	"CG18743,CG31366"	"FBgn0013276,FBgn00"	VALIUM21	attP2
35672	GLV21037	CG31449	FBgn0013277	VALIUM21	attP2
35697	GLV21062	CG6489	FBgn0013279	VALIUM21	attP2
29461	JF03398	CG7641	FBgn0013303	VALIUM10	attP2
28361	JF02997	CG3798	FBgn0013305	VALIUM10	attP2
31380	JF01349	CG13687	FBgn0013323	VALIUM1	attP2
27527	JF02677	CG8884	FBgn0013334	VALIUM10	attP2
31983	JF03417	CG17248	FBgn0013342	VALIUM10	attP2
25811	JF01829	CG31136	FBgn0013343	VALIUM10	attP2
35800	GL00359	CG5163	FBgn0013347	VALIUM22	attP2
27053	JF02379	CG2981	FBgn0013348	VALIUM10	attP2
35325	GL00232	CG1362	FBgn0013435	VALIUM22	attP2
29598	JF03277	CG18285	FBgn0013467	VALIUM10	attP2
28731	JF03158	CG12296	FBgn0013469	VALIUM10	attP2
34577	HMS01051	CG18780	FBgn0013531	VALIUM20	attP2
28979	HM05190	CG6760	FBgn0013563	VALIUM10	attP2
36718	HMS01608	CG32464	FBgn0013576	VALIUM20 	attP40
36638	GL00598	CG32464	FBgn0013576	VALIUM22	attP40
38894	GL00665	CG32464	FBgn0013576	VALIUM22	attP2
38519	HMS01666	CG32464	FBgn0013576	VALIUM20	attP2
	GL00701	CR34094	FBgn0013686	VALIUM22	attP2
	GL00700	CR34096	FBgn0013688	VALIUM22	attP2
28725	JF03152	CG4166	FBgn0013717	VALIUM10	attP2
27573	JF02728	CG33991	FBgn0013718	VALIUM10	attP2
31381	JF01350	CG33991	FBgn0013718	VALIUM1	attP2
31493	JF01351	CG33991	FBgn0013718	VALIUM1	attP2
38203	GL00642	CG14779	FBgn0013720	VALIUM22	attP40
29433	JF03369	CG10108	FBgn0013725	VALIUM10	attP2
36098	GL00517	CG3273	FBgn0013732	VALIUM22	attP2
	GL01286	CG18076	FBgn0013733	VALIUM22	attP2
28336	JF02971	CG18076	FBgn0013733	VALIUM10	attP2
28908	HM05119	CG9556	FBgn0013746	VALIUM10	attP2
27268	JF02581	CG11027	FBgn0013749	VALIUM10	attP2
27261	JF02549	CG8156	FBgn0013750	VALIUM10	attP2
31772	JF02403	CG1072	FBgn0013751	VALIUM10	attP2
26213	JF02111	CG7959	FBgn0013753	VALIUM10	attP2
35702	GLV21067	CG7960	FBgn0013755	VALIUM21	attP2
32941	HMS00735	CG8274	FBgn0013756	VALIUM20	attP2
32857	HMS00644	CG6703	FBgn0013759	VALIUM20	attP2
35309	GL00212	CG6703	FBgn0013759	VALIUM22	attP2
27556	JF02710	CG6703	FBgn0013759	VALIUM10	attP2
35287	GL00189	CG8203	FBgn0013762	VALIUM22	attP2
27517	JF02667	CG8203	FBgn0013762	VALIUM10	attP2
35435	GL00360	CG3924	FBgn0013764	VALIUM22	attP2
31049	JF01497	CG3924	FBgn0013764	VALIUM1	attP2
35761	HMS01509	CG4832	FBgn0013765	VALIUM20	attP2
31402	JF01769	CG4832	FBgn0013765	VALIUM1	attP2
25999	JF02023	CG3302	FBgn0013767	VALIUM10	attP2
	HMS02336	CG6692	FBgn0013770	VALIUM20	attP40
32932	HMS00725	CG6692	FBgn0013770	VALIUM20	attP2
32512	HMS00516	CG8567	FBgn0013799	VALIUM20	attP2
35288	GL00190	CG3969	FBgn0013955	VALIUM22	attP2
	HMS02328	CG3969	FBgn0013955	VALIUM20	attP40
28694	JF03110	CG3969	FBgn0013955	VALIUM10	attP2
36817	GL01038	CG1912	FBgn0013972	VALIUM22	attP2
28748	JF03176	CG1912	FBgn0013972	VALIUM10	attP2
28786	JF03214	CG1470	FBgn0013973	VALIUM10	attP2
34816	HMS00126	CG3379	FBgn0013981	VALIUM20	attP2
38933	HMS00253	CG5576	FBgn0013983	VALIUM20	attP2
35251	GL00139	CG18402	FBgn0013984	VALIUM22	attP2
31594	JF01183	CG18402	FBgn0013984	VALIUM1	attP2
31037	JF01482	CG18402	FBgn0013984	VALIUM1	attP2
35317	GL00223	CG3086	FBgn0013987	VALIUM22	attP2
	GL01326	CG3086	FBgn0013987	VALIUM22	attP2
37523	HMS01665	CG18255	FBgn0013988	VALIUM20	attP40
31891	JF02170	CG18255	FBgn0013988	VALIUM10	attP2
26736	JF02278	CG18255	FBgn0013988	VALIUM10	attP2
28306	JF02937	CG5685	FBgn0013995	VALIUM10	attP2
39071	HMS01991	CG6827	FBgn0013997	VALIUM20	attP40
32424	HMS00419	CG6827	FBgn0013997	VALIUM20	attP2
38192	GL00631	CG6827	FBgn0013997	VALIUM22	attP40
28715	JF03142	CG6827	FBgn0013997	VALIUM10	attP2
34914	HMS01262	CG33101	FBgn0013998	VALIUM20	attP2
27685	JF02765	CG33101	FBgn0013998	VALIUM10	attP2
35141	GL00008	CG10295	FBgn0014001	VALIUM22	attP2
	HMS02279	CG10295	FBgn0014001	VALIUM20	attP40
28945	HM05156	CG10295	FBgn0014001	VALIUM10	attP2
28039	JF02874	CG6988	FBgn0014002	VALIUM10	attP2
32464	HMS00464	CG4720	FBgn0014006	VALIUM20	attP2
35331	GL00238	CG4720	FBgn0014006	VALIUM22	attP2
38370	HMS01839	CG10975	FBgn0014007	VALIUM20	attP2
29462	JF03399	CG10975	FBgn0014007	VALIUM10	attP2
34922	HMS01271	CG3269	FBgn0014009	VALIUM20	attP2
28701	JF03117	CG3269	FBgn0014009	VALIUM10	attP2
34832	HMS00147	CG3664	FBgn0014010	VALIUM20	attP2
30518	JF03335	CG3664	FBgn0014010	VALIUM10	attP2
33661	HMS00070	CG11992	FBgn0014018	VALIUM20	attP2
28943	HM05154	CG11992	FBgn0014018	VALIUM10	attP2
32383	HMS00375	CG8416	FBgn0014020	VALIUM20	attP2
27727	JF02809	CG8416	FBgn0014020	VALIUM10	attP2
35457	GL00383	CG3312	FBgn0014024	VALIUM22	attP2
28004	JF02838	CG4173	FBgn0014029	VALIUM10	attP2
28968	HM05179	CG12117	FBgn0014032	VALIUM10	attP2
35270	GL00168	CG32217	FBgn0014037	VALIUM22	attP2
33399	HMS00277	CG32217	FBgn0014037	VALIUM20	attP2
34068	HMS00049	CG10726	FBgn0014127	VALIUM20	attP2
36624	GL00584	CG10726	FBgn0014127	VALIUM22	attP40
28372	JF03009	CG1822	FBgn0014133	VALIUM10	attP2
34572	HMS01046	CG4608	FBgn0014135	VALIUM20	attP2
35755	HMS01501	CG3937	FBgn0014141	VALIUM20	attP2
26307	JF02077	CG3937	FBgn0014141	VALIUM10	attP2
34647	HMS01122	CG5069	FBgn0014143	VALIUM20	attP2
27071	JF02416	CG5069	FBgn0014143	VALIUM10	attP2
33687	HMS00555	CG4609	FBgn0014163	VALIUM20	attP2
28913	HM05124	CG12245	FBgn0014179	VALIUM10	attP2
31518	JF01074	CG12245	FBgn0014179	VALIUM1	attP2
31519	JF01075	CG12245	FBgn0014179	VALIUM1	attP2
35436	GL00361	CG16747	FBgn0014184	VALIUM22	attP2
33666	HMS00076	CG7269	FBgn0014189	VALIUM20	attP2
36870	GL01011	CG3025	FBgn0014340	VALIUM22	attP40
33698	HMS00573	CG3025	FBgn0014340	VALIUM20	attP2
31401	JF01707	CG3025	FBgn0014340	VALIUM1	attP2
31907	JF02196	CG10601	FBgn0014343	VALIUM10	attP2
34845	HMS00163	CG2925	FBgn0014366	VALIUM20	attP2
32841	HMS00532	CG9366	FBgn0014380	VALIUM20	attP2
33723	HMS00605	CG9366	FBgn0014380	VALIUM20	attP2
36709	HMS01599	CG1921	FBgn0014388	VALIUM20	attP2
31515	JF01071	CG1921	FBgn0014388	VALIUM1	attP2
31516	JF01072	CG1921	FBgn0014388	VALIUM1	attP2
29391	JF03324	CG14620	FBgn0014395	VALIUM10	attP2
	HMS02031	CG3234	FBgn0014396	VALIUM20	attP40
29583	JF03262	CG3234	FBgn0014396	VALIUM10	attP2
38937	HMS01769	CG14804	FBgn0014411	VALIUM20	attP40
34677	HMS01155	"CG7216,CG31904"	"FBgn0014454,FBgn02"	VALIUM20	attP2
29332	JF02494	CG6103	FBgn0014467	VALIUM10	attP2
29377	JF02541	CG1864	FBgn0014859	VALIUM10	attP2
29376	JF02540	CG1864	FBgn0014859	VALIUM10	attP2
35771	HMS01520	CG7538	FBgn0014861	VALIUM20	attP2
31558	JF01128	CG1019	FBgn0014863	VALIUM1	attP2
28546	HM05032	CG8175	FBgn0014865	VALIUM10	attP2
34628	HMS01303	CG9022	FBgn0014868	VALIUM20	attP2
	GL01143	CG1721	FBgn0014869	VALIUM22	attP2
26303	JF02073	CG1721	FBgn0014869	VALIUM10	attP2
34825	HMS00140	CG8912	FBgn0014870	VALIUM20	attP2
31301	JF01247	CG8912	FBgn0014870	VALIUM1	attP2
31683	JF01476	CG8912	FBgn0014870	VALIUM1	attP2
36057	GL00187	CG2846	FBgn0014930	VALIUM22	attP2
28630	JF03045	CG2678	FBgn0014931	VALIUM10	attP2
	HMJ02097	CG5264	FBgn0014949	VALIUM20	attP40
34687	HMS01165	CG3469	FBgn0015000	VALIUM20	attP2
26737	JF02279	CG8953	FBgn0015008	VALIUM10	attP2
38928	GL01042	CG11987	FBgn0015014	VALIUM22	attP2
26740	JF02302	CG11987	FBgn0015014	VALIUM10	attP2
34969	HMS00884	CG8977	FBgn0015019	VALIUM20	attP2
	HMS02276	CG2028	FBgn0015024	VALIUM20	attP40
35153	GL00021	CG2028	FBgn0015024	VALIUM22	attP2
25786	JF01792	CG2028	FBgn0015024	VALIUM10	attP2
33878	HMS00815	CG14028	FBgn0015031	VALIUM20	attP2
27531	JF02682	CG9054	FBgn0015075	VALIUM10	attP2
26018	JF02043	CG18741	FBgn0015129	VALIUM10	attP2
34096	HMS00969	CG4035	FBgn0015218	VALIUM20	attP2
31990	JF03424	CG7199	FBgn0015239	VALIUM10	attP2
27992	JF02350	CG11783	FBgn0015240	VALIUM10	attP2
34729	HMS01209	CG12101	FBgn0015245	VALIUM20	attP2
34776	HMS00085	CG8293	FBgn0015247	VALIUM20	attP2
35445	GL00370	CG5330	FBgn0015268	VALIUM22	attP2
38257	HMS01701	CG5330	FBgn0015268	VALIUM20	attP40
31466	JF01767	CG8318	FBgn0015269	VALIUM1	attP2
25845	JF01866	CG8318	FBgn0015269	VALIUM10	attP2
33384	HMS00261	CG5373	FBgn0015277	VALIUM20	attP2
36056	GL00175	CG5373	FBgn0015277	VALIUM22	attP2
35265	GL00159	CG11621	FBgn0015278	VALIUM22	attP2
34621	HMS01296	CG11621	FBgn0015278	VALIUM20	attP2
31252	JF01193	CG11621	FBgn0015278	VALIUM1	attP2
